baseline,isolation_50,isolation_60,isolation_70,isolation_80,farmonly_50,farmonly_60,farmonly_70,farmonly_80,farmhh_50,farmhh_60,farmhh_70,farmhh_80
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,5,1,1,6,5,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,24,3,3,3,35,3,3,3,4,20,12,10
46,3,3,3,1,3,3,3,1,3,3,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
49,8,8,6,3,8,8,6,3,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,2,2,2,1,1,1,2,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,0,0,0
45,1,1,1,0,1,1,1,0,0,0,0,0
10,3,3,3,1,3,3,3,1,1,1,1,1
1,5,7,2,1,5,7,2,1,0,0,0,0
47,3,5,5,6,3,5,5,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
47,3,3,3,3,3,3,3,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,6,6,6,6,6,6,6,6,6,6,6
1,1,1,2,2,1,1,2,2,1,1,1,1
44,3,3,3,3,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0
45,1,1,3,3,1,1,3,3,1,1,3,3
1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,3,3,3,3,3,3,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
47,6,5,5,2,6,5,5,2,0,0,0,0
48,1,1,0,0,1,1,0,0,1,1,0,0
46,4,4,1,1,4,4,1,1,16,2,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,0,0,2,2,0,0,2,2,0,0
42,2,2,2,2,8,9,11,2,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
47,3,3,3,3,2,5,5,5,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,1,0,1,1,1,0
5,8,7,4,4,8,7,4,4,8,7,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,2,2,2,2,2,2,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,0,0,1,1,0,0
47,7,2,2,2,7,2,2,2,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
4,4,4,4,4,4,4,4,4,3,3,3,3
0,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,2,2,1,1,2,2,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,2,2,2,2,2,2,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,2,2,1,1,2,2,1,1,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0
5,5,5,6,4,5,5,6,4,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,13,0,0,0,13,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
13,10,3,3,3,10,3,3,3,8,11,8,9
4,2,2,0,0,2,2,0,0,19,5,0,0
3,5,4,4,0,5,4,4,0,2,2,2,0
48,4,4,4,4,4,4,4,4,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,4,4,5,4,4,4,5,3,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,2,2,1,1,1,2,0,0,0,0
8,7,7,4,7,7,7,4,7,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
2,3,3,3,3,3,3,3,3,3,3,3,3
7,0,0,0,0,0,0,0,0,0,0,0,0
47,1,1,6,4,1,1,6,4,1,1,6,4
2,2,2,2,2,2,2,2,2,3,3,3,3
5,3,3,3,5,1,1,1,5,3,2,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,2,2,2,2,1,1,1,1
6,9,7,4,3,9,7,4,3,14,7,4,3
1,1,1,0,0,1,1,0,0,1,1,0,0
44,2,2,1,1,2,2,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,19,8,11,4,4,1,1,1,1,1,1
46,5,5,1,1,5,5,1,1,5,5,1,1
1,2,2,2,2,2,2,2,2,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,1,1
48,2,2,2,2,2,2,2,2,1,1,1,1
45,5,5,0,0,5,5,0,0,5,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,1,1,0,0,1,1,0,0
43,1,1,1,1,1,1,1,1,3,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3,3,1,2,2,2,1,1,1,1,1
48,0,0,0,0,0,0,0,0,0,0,0,0
45,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,2,2,1,2,2,2,1,2,2,2,1
5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,0,0,0,0
47,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,2,2,2,2
1,0,0,0,0,0,0,0,0,0,0,0,0
47,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
6,2,2,2,2,0,0,0,0,0,0,0,0
13,2,2,2,2,2,2,2,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,2,2,2,2,2,2,1,1,1,1
2,13,10,14,4,13,10,14,4,11,13,14,3
1,1,1,1,1,1,1,1,1,1,1,1,1
