baseline,isolation_50,isolation_60,isolation_70,isolation_80,farmonly_50,farmonly_60,farmonly_70,farmonly_80,farmhh_50,farmhh_60,farmhh_70,farmhh_80
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1
1,9,5,5,5,9,5,5,5,9,5,5,5
46,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
49,7,6,6,2,7,6,6,2,7,6,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,4,1,1,4,4,1,1,4,4,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0
1,9,17,3,1,9,17,3,1,9,17,3,1
45,0,0,0,0,0,0,0,0,0,0,0,0
10,5,8,2,2,5,8,2,2,5,8,2,2
1,0,0,0,0,0,0,0,0,0,0,0,0
47,4,4,4,4,4,4,4,4,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
47,5,4,4,4,5,4,4,4,5,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,2,0,0,2,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,6,5,5,3,6,5,5,3,6,5,5
1,5,9,9,2,5,9,9,2,5,9,9,2
0,0,0,0,1,0,0,0,1,0,0,0,1
0,2,2,2,1,2,2,2,1,2,2,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,12,2,2,12,12,2,2,12,12,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
45,3,3,3,3,3,3,3,3,3,3,3,3
1,1,1,0,0,1,1,0,0,1,1,0,0
1,2,2,4,4,2,2,4,4,2,2,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,1,6,4,1,1,6,4,1,1,6,4
48,1,2,2,2,1,2,2,2,1,2,2,2
46,2,2,4,3,2,2,4,3,2,2,4,3
0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,2,1,1,1,2,1,1,1
2,6,2,2,2,6,2,2,2,6,2,2,2
42,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
47,11,10,2,2,11,10,2,2,11,10,2,2
1,0,0,0,0,0,0,0,0,0,0,0,0
47,5,5,1,1,5,5,1,1,5,5,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,3,3,1,3,3,3,1,3,3,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0,0
47,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
7,4,4,4,4,4,4,4,4,4,4,4,4
4,0,0,0,0,0,0,0,0,0,0,0,0
0,6,6,2,2,6,6,2,2,6,6,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,4,1,1,4,4,1,1,4,4,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
47,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1
1,4,4,2,2,4,4,2,2,4,4,2,2
0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1,0,0,0
5,5,3,3,3,5,3,3,3,5,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,1,1,1,1,1,1,1,1,1,1,1
4,0,0,0,0,0,0,0,0,0,0,0,0
3,2,2,2,2,2,2,2,2,2,2,2,2
48,3,3,2,2,3,3,2,2,3,3,2,2
0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
14,7,0,0,0,7,0,0,0,7,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1,1,1
44,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,2,2,2,2,2,2,2,2,2,2
44,3,0,0,0,3,0,0,0,3,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,4,4,5,14,4,4,5,14,4,4,5
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1
8,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
2,3,4,4,4,3,4,4,4,3,4,4,4
7,2,2,0,0,2,2,0,0,2,2,0,0
47,1,1,1,1,1,1,1,1,1,1,1,1
2,4,4,4,4,4,4,4,4,4,4,4,4
5,9,5,5,5,9,5,5,5,9,5,5,5
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,6,3,2,10,6,3,2,10,6,3,2
6,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1
44,4,8,9,1,4,8,9,1,7,6,8,1
0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,2,3,3,2,2,3,3,2,2,3,3
46,2,0,0,0,2,0,0,0,2,0,0,0
1,5,4,3,3,5,4,3,3,5,4,3,3
2,1,1,2,1,1,1,2,1,1,1,2,1
48,4,4,4,1,4,4,4,1,4,4,4,1
45,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
43,5,4,4,4,5,4,4,4,5,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,2,2,1,2,2,2,1,2,2,2
48,0,0,0,0,0,0,0,0,0,0,0,0
45,3,3,3,1,3,3,3,1,3,3,3,1
0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
49,2,3,0,0,2,3,0,0,2,3,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,2,2,2,6,2,2,2,6,2,2,2
5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,0,4,0,0,0,4,0,0,0
47,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0
47,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,0,1,1,0,0
1,2,2,2,2,2,2,2,2,2,2,2,2
2,6,6,6,6,6,6,6,6,6,6,6,6
1,1,1,1,1,1,1,1,1,1,1,1,1
